Date,WIL5000,WIL5000:BofA_AAA,WIL5000:BofA_BBB,WIL5000:BofA_CCC,WIL5000:Gold
2015-09-01,0.9999999999913851,-0.3169619828106667,0.08995690622656712,0.6368048706515966,-0.2692804696183781
2015-09-02,0.9999999999919582,-0.3064861498883992,0.10680981168713655,0.6500400816179654,-0.2500426217697154
2015-09-03,0.999999999992446,-0.29907599745155056,0.11990908077348056,0.6608016539341075,-0.23030424229593288
2015-09-04,0.9999999999923975,-0.29348771342488383,0.1314576241066479,0.6732173483104114,-0.20277728874620718
2015-09-08,0.9999999999917654,-0.2889381461404567,0.14029218630890444,0.6795775498529952,-0.1838011173466358
2015-09-09,0.9999999999919227,-0.284618965241346,0.14846885781833438,0.6872992060388905,-0.15416065841434096
2015-09-10,0.9999999999916216,-0.2782455470925205,0.157219337116538,0.6933172114758263,-0.12963127618910789
2015-09-11,0.9999999999920389,-0.2744799976376457,0.16313466658208234,0.6980451372256866,-0.10307031842801281
2015-09-14,0.9999999999922305,-0.2712461229832973,0.16635134153654282,0.7021090436976198,-0.07740779847615567
2015-09-15,0.9999999999919932,-0.2639429495082092,0.16942475443867283,0.7027336342308482,-0.05758062452444443
2015-09-16,0.999999999992232,-0.25957206309994835,0.17123516655332036,0.7029992873338882,-0.04538734916317356
2015-09-17,0.9999999999915117,-0.2567670265170493,0.1753654843460219,0.7057065006699939,-0.03406986134518428
2015-09-18,0.9999999999917407,-0.25496375633663104,0.17988907605912927,0.7113459011829973,-0.02450955565901027
2015-09-21,0.9999999999915848,-0.24831903465381472,0.18831730652909465,0.7164421396366158,-0.014547777673235129
2015-09-22,0.9999999999921106,-0.24584005457343105,0.19523383914583414,0.723904672997462,-0.000566532474577023
2015-09-23,0.9999999999919514,-0.24136022926227124,0.20450885272711725,0.7315178167832439,0.0114119939796378
2015-09-24,0.9999999999926045,-0.237890005606975,0.2139704010738454,0.7397957119237757,0.018081840052522308
2015-09-25,0.9999999999933751,-0.23031938809555735,0.22619716853988875,0.7480319704150983,0.025738663271435265
2015-09-28,0.9999999999937865,-0.22279423983097427,0.24132854002964413,0.760401890087911,0.04489612218719815
2015-09-29,0.9999999999941649,-0.2143373745761172,0.25909605565368804,0.7731581804388609,0.06550521762310844
2015-09-30,0.999999999994423,-0.20792800838058584,0.27421620944298425,0.7821971044619765,0.08597057318007573
2015-10-01,0.9999999999948721,-0.20589108840414005,0.28626558649218475,0.7898709741964746,0.10174783046751337
2015-10-02,0.999999999994634,-0.20549843236701842,0.2954543876286214,0.7945380744898386,0.11167446965214473
2015-10-05,0.9999999999946481,-0.20071191001224947,0.3051589034970486,0.7951021696240173,0.12221412566587884
2015-10-06,0.9999999999953223,-0.19616157619934532,0.31432413596306386,0.7975137874905058,0.13315786336979285
2015-10-07,0.9999999999948677,-0.18974630764471714,0.3235925894069786,0.7984938360724863,0.14566970524969297
2015-10-08,0.9999999999948451,-0.17859073421607724,0.33697244301807355,0.7992977635392446,0.16566714795360252
2015-10-09,0.9999999999952455,-0.17156114262708794,0.34554626859587384,0.7988148237235984,0.18495656676489097
2015-10-12,0.999999999995392,-0.16636729281500087,0.35195331829831783,0.798153451466865,0.2025027535515096
2015-10-13,0.9999999999952204,-0.1664750609282232,0.35562677310516194,0.7983190271338205,0.21294325880936985
2015-10-14,0.9999999999956194,-0.16702574925401714,0.3604804611808679,0.7997292315011589,0.22474289613120632
2015-10-15,0.9999999999954783,-0.1665826785484239,0.3646897262428989,0.7977043279428456,0.232730191219754
2015-10-16,0.9999999999952591,-0.16255517807353545,0.3711133911311682,0.7958018387531675,0.24891706466825653
2015-10-19,0.9999999999953463,-0.15177334768841136,0.38529382981319504,0.7960072344483412,0.274355592890136
2015-10-20,0.9999999999951767,-0.14419246007214356,0.3954955781873936,0.7955172014239039,0.2911646630718406
2015-10-21,0.9999999999954531,-0.1309537838630736,0.41212603971434303,0.7986615056450606,0.31348518507162276
2015-10-22,0.9999999999953406,-0.12070076211853484,0.42484897496681184,0.7968523512168212,0.33446012322802227
2015-10-23,0.9999999999953634,-0.11644445031200482,0.42991136279872416,0.7916961215186148,0.3470696679476468
2015-10-26,0.9999999999954835,-0.11105992669182237,0.4363179111281948,0.787775641986557,0.3632913864274648
2015-10-27,0.9999999999958624,-0.11061000440783227,0.439731609189065,0.7841589139961868,0.3726807765043506
2015-10-28,0.9999999999964261,-0.1073307333269668,0.44155919618160566,0.7766164431462259,0.3811641974831678
2015-10-29,0.9999999999964413,-0.10400519093186042,0.44381439514688026,0.7706551559186094,0.39057338734116975
2015-10-30,0.9999999999964874,-0.10322575399293947,0.44444675655943233,0.7649585069576589,0.395969839436105
2015-11-02,0.9999999999964329,-0.10196732024446631,0.44308653167890194,0.7552480440766132,0.39759048045083223
2015-11-03,0.9999999999965526,-0.10328539647876123,0.43950304721257655,0.7440799222721814,0.3939851420340558
2015-11-04,0.9999999999962547,-0.10487950787634118,0.43620886161664646,0.734470988605478,0.3893737319944819
2015-11-05,0.9999999999965222,-0.10552771174051034,0.4331728388009593,0.7241565796563126,0.38240220356122206
2015-11-06,0.9999999999961103,-0.10810826172780155,0.42783869650463957,0.713170039884612,0.3726007792878057
2015-11-09,0.9999999999964305,-0.10904531285906817,0.4249693940001795,0.7055229483195601,0.36722975101271316
2015-11-10,0.9999999999962732,-0.11036542768351676,0.42154331488499036,0.6966995869932102,0.359578310996394
2015-11-11,0.9999999999967171,-0.11291942949406464,0.4186306304748449,0.6897491345498982,0.3537926007775274
2015-11-12,0.9999999999968797,-0.11616653035126012,0.4178178157329466,0.6867781348720117,0.3532667681850368
2015-11-13,0.9999999999966551,-0.11998267047112024,0.41836278368646534,0.6863142178731817,0.3554458979482831
2015-11-16,0.9999999999960362,-0.12350821709416399,0.4170524015244987,0.6813887109542511,0.3532427197948828
2015-11-17,0.9999999999959875,-0.1270159957834084,0.41656672037236536,0.6775789615226251,0.3519118768330571
